ballX,ballDirection,playerX,playerWidth,userInput
0.631841,0.500000,0.776596,1.000000,1.000000
0.611940,1.000000,0.760638,1.000000,1.000000
0.597015,1.000000,0.734043,1.000000,1.000000
0.592040,1.000000,0.702128,1.000000,1.000000
0.577114,1.000000,0.670213,1.000000,1.000000
0.567164,1.000000,0.643617,1.000000,1.000000
0.557214,1.000000,0.617021,1.000000,1.000000
0.552239,1.000000,0.585106,1.000000,1.000000
0.537313,1.000000,0.553191,1.000000,1.000000
0.527363,1.000000,0.521277,1.000000,0.500000
0.522388,1.000000,0.510638,1.000000,0.000000
0.512438,1.000000,0.521277,1.000000,1.000000
0.507463,1.000000,0.515957,1.000000,1.000000
0.497512,1.000000,0.489362,1.000000,0.500000
0.492537,1.000000,0.478723,1.000000,0.000000
0.482587,1.000000,0.489362,1.000000,1.000000
0.467662,1.000000,0.484043,1.000000,1.000000
0.457711,1.000000,0.457447,1.000000,1.000000
0.447761,1.000000,0.425532,1.000000,0.000000
0.442786,1.000000,0.425532,1.000000,0.000000
0.427861,1.000000,0.452128,1.000000,1.000000
0.417910,1.000000,0.452128,1.000000,1.000000
0.412935,1.000000,0.425532,1.000000,1.000000
0.398010,1.000000,0.393617,1.000000,1.000000
0.393035,1.000000,0.367021,1.000000,0.000000
0.383085,1.000000,0.367021,1.000000,0.500000
0.373134,1.000000,0.372340,1.000000,1.000000
0.368159,1.000000,0.361702,1.000000,1.000000
0.358209,1.000000,0.340426,1.000000,0.500000
0.353234,1.000000,0.329787,1.000000,0.000000
0.343284,1.000000,0.340426,1.000000,1.000000
0.328358,1.000000,0.335106,1.000000,1.000000
0.318408,1.000000,0.308511,1.000000,1.000000
0.313433,1.000000,0.292553,1.000000,0.500000
0.303483,1.000000,0.292553,1.000000,1.000000
0.338308,0.000000,0.292553,1.000000,0.000000
0.303483,1.000000,0.297872,1.000000,1.000000
0.298507,1.000000,0.292553,1.000000,1.000000
0.288557,1.000000,0.292553,1.000000,1.000000
0.278607,1.000000,0.292553,1.000000,1.000000
0.263682,1.000000,0.292553,1.000000,1.000000
0.303483,0.000000,0.292553,1.000000,1.000000
0.313433,0.000000,0.292553,1.000000,0.500000
0.318408,0.000000,0.292553,1.000000,0.000000
0.328358,0.000000,0.297872,1.000000,0.000000
0.338308,0.000000,0.313830,1.000000,0.000000
0.343284,0.000000,0.345745,1.000000,1.000000
0.358209,0.000000,0.345745,1.000000,1.000000
0.368159,0.000000,0.319149,1.000000,0.000000
0.378109,0.000000,0.319149,1.000000,0.000000
0.388060,0.000000,0.345745,1.000000,0.000000
0.393035,0.000000,0.377660,1.000000,0.500000
0.398010,0.000000,0.388298,1.000000,1.000000
0.412935,0.000000,0.377660,1.000000,0.000000
0.422886,0.000000,0.382979,1.000000,0.000000
0.432836,0.000000,0.409574,1.000000,0.000000
0.442786,0.000000,0.436170,1.000000,1.000000
0.447761,0.000000,0.436170,1.000000,0.500000
0.457711,0.000000,0.430851,1.000000,0.000000
0.462687,0.000000,0.441489,1.000000,0.000000
0.477612,0.000000,0.462766,1.000000,0.000000
0.487562,0.000000,0.494681,1.000000,1.000000
0.497512,0.000000,0.494681,1.000000,1.000000
0.502488,0.000000,0.468085,1.000000,0.000000
0.517413,0.000000,0.468085,1.000000,0.000000
0.522388,0.000000,0.494681,1.000000,0.000000
0.532338,0.000000,0.526596,1.000000,0.500000
0.537313,0.000000,0.537234,1.000000,1.000000
0.547264,0.000000,0.526596,1.000000,0.000000
0.557214,0.000000,0.531915,1.000000,0.000000
0.567164,0.000000,0.558511,1.000000,0.000000
0.582090,0.000000,0.590426,1.000000,1.000000
0.592040,0.000000,0.590426,1.000000,0.500000
0.592040,0.000000,0.585106,1.000000,0.000000
0.601990,0.000000,0.595745,1.000000,0.000000
0.611940,0.000000,0.622340,1.000000,1.000000
0.626866,0.000000,0.622340,1.000000,0.000000
0.631841,0.000000,0.627660,1.000000,0.000000
0.646766,0.000000,0.654255,1.000000,1.000000
