Epoch, Error
0,0.068153413494909
1,0.011967613942109
2,0.004191863961527
3,0.002000265833723
4,0.001130686498293
5,0.000711198285687
6,0.000481465234200
7,0.000343909144780
8,0.000255901883682
9,0.000196637704125
10,0.000155069260562
11,0.000124928360570
12,0.000102462405663
13,0.000085322956634
14,0.000071984502928
15,0.000061424092644
16,0.000052936694989
17,0.000046024632715
18,0.000040329128823
19,0.000035586670399
20,0.000031600464184
21,0.000028221329384
22,0.000025334640707
23,0.000022851238053
24,0.000020700989993
25,0.000018828165627
26,0.000017188059579
27,0.000015744498792
28,0.000014467978688
29,0.000013334254362
30,0.000012323264826
31,0.000011418303697
32,0.000010605374224
33,0.000009872683480
34,0.000009210242636
35,0.000008609548748
36,0.000008063329702
37,0.000007565338464
38,0.000007110186090
39,0.000006693205412
40,0.000006310339165
41,0.000005958047688
42,0.000005633232415
43,0.000005333172144
44,0.000005055469725
45,0.000004798007271
46,0.000004558908380
47,0.000004336506142
48,0.000004129315957
49,0.000003936012345
50,0.000003755409107
51,0.000003586442288
52,0.000003428155513
53,0.000003279687314
54,0.000003140260158
55,0.000003009170912
56,0.000002885782543
57,0.000002769516869
58,0.000002659848219
59,0.000002556297860
60,0.000002458429111
61,0.000002365843024
62,0.000002278174576
63,0.000002195089301
64,0.000002116280296
65,0.000002041465567
66,0.000001970385668
67,0.000001902801586
68,0.000001838492864
69,0.000001777255910
70,0.000001718902491
71,0.000001663258376
72,0.000001610162113
73,0.000001559463934
74,0.000001511024765
75,0.000001464715328
76,0.000001420415336
77,0.000001378012759
78,0.000001337403158
79,0.000001298489083
80,0.000001261179524
81,0.000001225389412
82,0.000001191039167
83,0.000001158054276
84,0.000001126364920
85,0.000001095905623
86,0.000001066614941
87,0.000001038435161
88,0.000001011312043
89,0.000000985194573
90,0.000000960034734
91,0.000000935787303
92,0.000000912409658
93,0.000000889861603
94,0.000000868105206
95,0.000000847104649
96,0.000000826826087
97,0.000000807237525
98,0.000000788308696
99,0.000000770010950
100,0.000000752317157
101,0.000000735201606
102,0.000000718639925
103,0.000000702608992
104,0.000000687086864
105,0.000000672052704
106,0.000000657486717
107,0.000000643370088
108,0.000000629684923
109,0.000000616414201
110,0.000000603541719
111,0.000000591052046
112,0.000000578930484
113,0.000000567163020
114,0.000000555736297
115,0.000000544637571
116,0.000000533854679
117,0.000000523376012
118,0.000000513190479
119,0.000000503287485
120,0.000000493656902
121,0.000000484289047
122,0.000000475174656
123,0.000000466304865
124,0.000000457671188
125,0.000000449265500
126,0.000000441080017
127,0.000000433107281
128,0.000000425340141
129,0.000000417771741
130,0.000000410395504
131,0.000000403205121
132,0.000000396194533
133,0.000000389357926
