x,y,target
0.100744,0.133595,-1
0.757357,0.854205,1
0.528219,0.889897,1
0.574018,0.698214,1
0.595916,0.696477,1
0.44227,0.659046,1
0.481003,0.205537,-1
0.519345,0.703653,1
0.00881248,0.113125,-1
0.630459,0.970861,1
0.575199,0.706225,1
0.845977,0.363167,-1
0.341263,0.539404,1
0.339401,0.0144042,-1
0.823104,0.477069,-1
0.439988,0.923848,1
0.610663,0.197345,-1
0.778053,0.138882,-1
0.0872413,0.352072,-1
0.837096,0.683157,1
0.0485482,0.279366,-1
0.342203,0.529552,1
0.484904,0.861547,1
0.233204,0.493716,-1
0.974672,0.863663,1
0.464577,0.549871,1
0.569888,0.310554,-1
0.913038,0.911151,1
0.849958,0.252438,-1
0.925555,0.673063,1
0.729507,0.365543,-1
0.596911,0.34017,-1
0.562888,0.374964,-1
0.479052,0.650129,1
0.727036,0.316149,-1
0.333286,0.775584,1
0.595515,0.675489,1
0.305135,0.0804188,-1
0.537036,0.53834,1
0.574135,0.511708,1
