x,y,target
0.828458,0.889372,1
0.658585,0.706312,1
0.623135,0.427287,1
0.70746,0.969186,1
0.433135,0.262848,1
0.764774,0.595501,1
0.721357,0.614721,1
0.734181,0.840748,1
0.324911,0.0970775,-1
0.396824,0.967578,1
0.63856,0.516198,1
0.672375,0.449408,1
0.0673482,0.445742,1
0.425325,0.562515,1
0.831839,0.927657,1
0.639122,0.660297,1
0.817029,0.297707,-1
0.366609,0.440165,1
0.724994,0.0740691,-1
0.409351,0.15813,-1
0.336917,0.174125,1
0.753631,0.0582737,-1
0.788846,0.487812,1
0.899022,0.113757,-1
0.58489,0.295846,1
0.0813353,0.22345,1
0.812044,0.75371,1
0.672858,0.879392,1
0.199452,0.0981832,-1
0.441907,0.0312916,-1
0.0258401,0.0810295,1
0.691589,0.842869,1
0.378736,0.0581975,-1
0.283034,0.103731,-1
0.132267,0.692384,1
0.261861,0.469183,1
0.866509,0.0154916,-1
0.527457,0.655355,1
0.503304,0.426479,1
0.769113,0.088194,-1
