x,y,target
0.0478475,0.796755,1
0.831281,0.774449,1
0.046232,0.560437,1
0.174467,0.143359,-1
0.301049,0.93188,1
0.620178,0.136051,-1
0.517392,0.408675,1
0.932068,0.243943,1
0.133578,0.701043,1
0.193425,0.299847,-1
0.244572,0.267479,-1
0.455304,0.32509,1
0.851934,0.553763,1
0.0579665,0.466417,-1
0.158878,0.537932,1
0.907524,0.206725,1
0.334687,0.738805,1
0.981174,0.380919,1
0.299243,0.155641,-1
0.524279,0.600291,1
0.0875204,0.144456,-1
0.736342,0.604912,1
0.553131,0.66841,1
0.848855,0.686709,1
0.369453,0.0422801,-1
0.986556,0.614025,1
0.309759,0.441861,1
0.939115,0.161694,1
0.995624,0.997081,1
0.628111,0.154502,-1
0.535014,0.535635,1
0.361227,0.869701,1
0.27444,0.342401,-1
0.25062,0.573683,1
0.498042,0.774899,1
0.173974,0.585562,1
0.919355,0.910316,1
0.190474,0.472487,1
0.578726,0.0393293,-1
0.159196,0.948179,1
