x,y,target
0.225307,0.86052,1
0.604528,0.410205,-1
0.7488,0.748012,1
0.58556,0.131237,-1
0.631096,0.525055,1
0.565431,0.135151,-1
0.050638,0.723672,1
0.657144,0.0415823,-1
0.967774,0.616539,1
0.877584,0.0923053,-1
0.859695,0.0232848,-1
0.970243,0.0998202,-1
0.138249,0.454102,-1
0.726737,0.827936,1
0.199016,0.791592,1
0.961361,0.424323,-1
0.652112,0.565889,1
0.834529,0.400913,-1
0.3139,0.420088,-1
0.532149,0.944996,1
0.945143,0.0975802,-1
0.0801476,0.995781,1
0.821253,0.737292,1
0.0373634,0.789027,1
0.353831,0.914948,1
0.881332,0.213526,-1
0.938233,0.851575,1
0.313346,0.0764819,-1
0.305677,0.0400829,-1
0.904418,0.504693,1
0.831675,0.865778,1
0.929017,0.483788,-1
0.431667,0.763545,1
0.8847,0.745567,1
0.183634,0.41685,-1
0.690563,0.128777,-1
0.51443,0.770711,1
0.124558,0.335682,-1
0.508003,0.161921,-1
0.124709,0.861834,1
